RegionStation,Month,MinTemp,MaxTemp,Humidity,Wind,SunHours,Rad,Eto_mm/day,SoilType
Hoshangabad,January,12.7,26.6,47,69,7.8,15.5,2.7,Black
Hoshangabad,July,24,30.2,80,104,4,15.8,3.76,Black
Hoshangabad,June,26.6,37.6,47,121,6.6,19.9,5.86,Black
Hoshangabad,March,18.6,34.9,24,78,8.8,21,4.43,Black
Hoshangabad,May,27.6,42,22,104,9,23.4,6.48,Black
Hoshangabad,November,14.5,29.3,47,52,8.4,16.6,2.97,Black
Hoshangabad,October,19.5,32.1,57,52,8,18.3,3.71,Black
Hoshangabad,September,23.2,30.7,76,78,5.6,16.9,3.7,Black
Hyderabad-Airport,January,15.7,28.7,62,147,7.5,16.6,3.64,Red
Hyderabad-Airport,February,18.4,31.8,50,164,7.7,18.6,4.71,Red
Hyderabad-Airport,March,21.2,35.4,42,164,8.6,21.6,5.87,Red
Hyderabad-Airport,April,24.7,38.2,50,190,7.3,20.6,6.33,Red
Hyderabad-Airport,May,26.5,39.4,52,285,6.3,19.4,7.34,Red
Hyderabad-Airport,June,24,34.5,76,432,3.5,15,5.16,Red
Hyderabad-Airport,July,22.8,31.2,80,406,1.7,12.3,3.91,Red
Hyderabad-Airport,August,22.3,30,88,380,2.9,13.8,3.34,Red
Hyderabad-Airport,September,22.4,30.9,89,268,3.3,14,3.26,Red
Hyderabad-Airport,October,20.6,30.7,73,190,5.3,15.6,3.96,Red
Hyderabad-Airport,November,17.5,28.8,63,164,6.1,15.1,3.75,Red
Hyderabad-Airport,December,15.3,27.9,62,147,7.4,15.9,3.51,Red
Indore,April,21.2,38.7,13,311,9.6,23.8,9.67,Black
Indore,August,21.9,28.2,87,406,4.1,15.6,3.47,Black
Indore,December,10.6,26.9,50,121,8.1,15.3,3.17,Black
Indore,February,11.4,28.8,28,190,8.7,18.6,4.94,Black
Indore,January,9.8,26.5,42,147,8,15.8,3.57,Black
Indore,July,22.6,30.3,84,458,3.5,15.2,3.98,Black
Indore,June,24.1,36.2,61,458,7.1,20.7,7.66,Black
Indore,March,16.2,34.3,17,242,9.2,21.6,7.18,Black
Indore,May,24.4,40.4,22,432,9.8,24.8,11.77,Black
Indore,November,13.9,29.7,46,121,8.4,16.6,3.8,Black
Indore,October,18.1,32.4,49,147,8.3,18.7,4.76,Black
Indore,September,21.1,30.9,81,285,5.4,16.6,4.05,Black
Jabalpur,January,8.9,25,69,61,7.7,15.3,2.33,Black
Jabalpur,February,11.1,27.8,52,69,8.4,18.2,3.12,Black
Jabalpur,March,16.1,33.3,31,78,8.9,21.2,4.3,Black
Jabalpur,April,21.1,38.3,23,86,9.1,23,5.36,Black
Jabalpur,May,26.1,41.1,26,121,9.3,24,6.76,Black
Jabalpur,June,26.1,36.7,64,156,6.6,19.9,5.66,Black
Jabalpur,July,23.9,30.5,95,147,3.3,14.9,3.24,Black
Jabalpur,August,23.3,29.4,93,130,3.2,14.3,3.03,Black
Jabalpur,September,22.8,30.5,88,95,5.6,16.8,3.58,Black
Jabalpur,October,17.8,30.5,70,61,8,18.1,3.62,Black
Jabalpur,November,11.7,27.8,65,52,8.4,16.5,2.84,Black
Jabalpur,December,7.8,25,70,43,8.1,15.1,2.2,Black
Jagdalpur,January,11.5,28.3,61,69,9.1,18.3,3.09,Red
Jagdalpur,February,14.7,31.2,55,69,9.5,20.6,3.8,Red
Jagdalpur,March,18.6,35.1,40,121,9.6,22.9,5.4,Red
Jagdalpur,April,22.3,37.6,44,147,9.5,23.9,6.38,Red
Jagdalpur,May,24.3,38.1,48,147,9,23.4,6.5,Red
Jagdalpur,June,23.6,33.4,84,147,6.9,20.2,4.72,Red
Jagdalpur,July,22.4,28.9,95,121,4.8,16.9,3.45,Red
Jagdalpur,August,22.3,28.4,96,95,5.3,17.5,3.46,Red
Jagdalpur,September,21.9,29.8,98,69,5.9,17.7,3.54,Red
Jagdalpur,October,19.4,30,86,69,7.7,18.7,3.69,Red
Jagdalpur,November,14.8,28.5,76,69,8.6,17.9,3.26,Red
Jagdalpur,December,11.3,27.6,72,69,8.8,17.1,2.89,Red
Jaipur,January,8.3,23.3,46,264,9.9,16.7,3.93,Alluvial
Jaipur,February,10.6,25.5,35,276,10.3,19.5,5.11,Alluvial
Jaipur,March,15.6,31.7,24,288,10.9,23.3,7.22,Alluvial
Jaipur,April,21.1,37.2,20,314,11.5,26.3,9.38,Alluvial
Jaipur,May,25.5,40.5,27,396,12.1,28,11.36,Alluvial
Jaipur,June,27.2,39.4,45,427,9.2,23.8,9.92,Alluvial
Jaipur,July,25.5,34.4,73,388,5.9,18.8,5.81,Alluvial
Jaipur,August,24.4,32.2,78,297,6,18.4,4.8,Alluvial
Jaipur,September,22.8,33.9,68,295,9.6,22,5.93,Alluvial
Jaipur,October,18.3,34.4,38,239,10.9,21,6.42,Alluvial
Jaipur,November,12.2,29.4,39,182,10.4,17.7,4.47,Alluvial
Jaipur,December,8.9,24.4,47,194,9.5,15.4,3.46,Alluvial
Jaipur-Sanganer,January,8.3,22,48,173,7.3,13.9,3,Alluvial
Jaipur-Sanganer,February,10.7,25.4,38,181,8.1,16.9,4,Alluvial
Jaipur-Sanganer,March,15.5,30.9,31,181,7.9,19.1,5.27,Alluvial
Jaipur-Sanganer,April,21,36.5,26,207,8.3,21.6,7.07,Alluvial
Jaipur-Sanganer,May,25.8,40.6,28,268,8.3,22.4,8.9,Alluvial
Jaipur-Sanganer,June,27.3,39.2,41,285,6.5,19.9,8.19,Alluvial
Jaipur-Sanganer,July,25.6,34.1,72,259,4.2,16.2,5.03,Alluvial
Jaipur-Sanganer,August,24.3,31.9,79,199,4.1,15.6,4.03,Alluvial
Jaipur-Sanganer,September,23,33.2,68,199,6.5,17.7,4.79,Alluvial
Jaipur-Sanganer,October,18.3,33.2,45,173,8.6,18.1,5.08,Alluvial
Jaipur-Sanganer,November,12,29,42,121,8.5,15.5,3.55,Alluvial
Jaipur-Sanganer,December,9.1,24.4,46,121,7.7,13.5,2.78,Alluvial
Jalgaon,April,24.1,41.1,23,225,9,23.1,8.36,Black
Jalgaon,August,23.4,31.2,77,216,3.8,15.3,4.03,Black
Jalgaon,December,12,30.3,43,121,8.4,16.2,3.64,Black
Jalgaon,February,14.3,33.2,27,147,9.3,19.9,5.04,Black
Jalgaon,January,12.7,30.6,38,130,8.5,16.9,3.93,Black
Jalgaon,July,24,32.1,72,285,3.3,14.8,4.64,Black
Jalgaon,June,26,38.1,52,363,6.8,20.1,8.13,Black
Jalgaon,March,18.7,37.6,21,164,8.7,21.2,6.31,Black
Jalgaon,May,27.2,42.6,31,372,9,23.5,10.86,Black
Jalgaon,November,14.5,32,42,121,8.6,17.4,4.15,Black
Jalgaon,October,19.2,34.1,51,104,8.1,18.8,4.49,Black
Jalgaon,September,22.9,31.8,70,181,5,16.1,4.28,Black
Jalpaiguri,January,10.8,23.4,71,26,7.8,14.5,1.89,Red
Jalpaiguri,February,12.7,25.2,63,26,8.2,17.1,2.41,Red
Jalpaiguri,March,16.4,29.6,53,86,8.8,20.3,3.94,Red
Jalpaiguri,April,20.4,31.6,57,130,8.6,22,5.02,Red
Jalpaiguri,May,22.9,30.9,73,147,6.8,20.1,4.62,Red
Jalpaiguri,June,24.3,30.6,81,121,5.3,18.1,4.04,Red
Jalpaiguri,July,25,30.6,84,112,4.1,16.1,3.66,Red
Jalpaiguri,August,24.9,30.8,83,95,4.6,16.4,3.66,Red
Jalpaiguri,September,24.4,30.7,81,86,4.9,15.5,3.44,Red
Jalpaiguri,October,21.4,30,75,78,7.4,16.7,3.43,Red
Jalpaiguri,November,16.2,27.7,73,35,8.3,15.5,2.55,Red
Jalpaiguri,December,12.1,25,72,35,8.1,14.1,1.99,Red
Jammu,April,20.5,33.1,40,86,7.4,19.6,4.41,Alluvial
Jammu,August,25.1,33.2,78,86,3.9,14.9,3.65,Alluvial
Jammu,December,9.3,21.1,64,86,4.8,9,1.64,Alluvial
Jammu,February,10.6,21.1,64,86,5.3,12.1,1.98,Alluvial
Jammu,January,8.3,18.4,69,86,4.9,9.7,1.48,Alluvial
Jammu,July,26,35.4,69,86,4.1,16.1,4.29,Alluvial
Jammu,June,27.7,40.4,39,86,8.1,22.3,6.02,Alluvial
Jammu,March,14.8,26.4,54,86,5.8,15.1,2.95,Alluvial
Jammu,May,25.8,39,32,86,7.9,21.5,5.52,Alluvial
Jammu,November,13.4,26.2,54,86,7.2,12.4,2.44,Alluvial
Jammu,October,19.4,31.4,57,86,8.5,16.4,3.56,Alluvial
Jammu,September,23.9,33.3,70,86,7.1,17.6,4.08,Alluvial
Jamnagar,April,21.4,35.5,53,190,9.3,23.4,6.27,Black
Jamnagar,August,25.4,31.5,77,251,4.4,16.2,4.34,Black
Jamnagar,December,12.1,27.8,47,121,7.8,14.9,3.33,Black
Jamnagar,February,13,28.8,43,130,8.4,18.4,3.99,Black
Jamnagar,January,10.6,26.4,46,156,8.1,16,3.6,Black
Jamnagar,July,26.2,32.3,76,268,4.5,16.7,4.69,Black
Jamnagar,June,27.1,35.9,65,277,7.1,20.6,6.37,Black
Jamnagar,March,17.6,32.9,49,156,8.7,20.9,5.13,Black
Jamnagar,May,25.4,36.1,60,277,9.2,23.8,6.98,Black
Jamnagar,November,16.1,32.3,45,121,8.2,16.5,4.08,Black
Jamnagar,October,21.5,34.4,58,121,8.1,18.5,4.55,Black
Jamnagar,September,23.9,31.9,73,173,6.4,18.1,4.43,Black
Jamshedpur,April,23.7,38.7,33,86,9.2,23.2,5.54,Laterite
Jamshedpur,August,25.7,31.8,80,112,3.9,15.3,3.67,Laterite
Jamshedpur,December,11.6,26.8,64,52,8.4,15.6,2.45,Laterite
Jamshedpur,February,14.3,29.2,46,52,8.7,18.6,3.11,Laterite
Jamshedpur,January,11.8,26.7,59,35,8.1,16,2.34,Laterite
Jamshedpur,July,25.9,32,78,130,3.9,15.7,3.95,Laterite
Jamshedpur,June,27,36.5,63,112,5.8,18.7,5.13,Laterite
Jamshedpur,March,18.7,34.6,35,86,8.8,21,4.56,Laterite
Jamshedpur,May,26.8,40,41,95,8.5,22.8,6.04,Laterite
Jamshedpur,November,15.5,29.1,64,52,8.3,16.5,2.98,Laterite
Jamshedpur,October,22.2,31.6,71,86,7.1,17.1,3.79,Laterite
Jamshedpur,September,25.4,32.1,79,112,5.1,16.2,3.81,Laterite
Jhalawar,January,9.4,25.1,47,61,7.9,15.2,2.39,Black
Jhalawar,February,11.4,28.4,37,69,8.7,18.1,3.14,Black
Jhalawar,March,16.4,33.9,25,86,9.2,21.3,4.46,Black
Jhalawar,April,22,38.6,20,95,9.8,24,5.63,Black
Jhalawar,May,27.3,42,25,156,10.2,25.3,7.69,Black
Jhalawar,June,27.5,39.1,47,207,8.2,22.4,7.43,Black
Jhalawar,July,24.9,32.3,73,156,4.5,16.6,4.43,Black
Jhalawar,August,24.1,30.6,74,130,4.2,15.7,3.89,Black
Jhalawar,September,23.2,31.9,70,104,6.8,18.4,4.22,Black
Jhalawar,October,18.3,33.5,46,52,8.9,19,3.8,Black
Jhalawar,November,12.2,29.8,41,35,8.8,16.6,2.65,Black
Jhalawar,December,9.6,26.5,45,43,8.1,14.7,2.21,Black
Jhansi,January,9.2,24.1,50,61,8.4,15.5,2.29,Alluvial
Jhansi,February,11.7,27.5,38,104,9.4,18.8,3.52,Alluvial
Jhansi,March,17.4,33.5,25,95,10,22.2,4.64,Alluvial
Jhansi,April,23.3,38.9,20,104,10.6,25,5.95,Alluvial
Jhansi,May,28.8,42.6,20,130,11,26.5,7.43,Alluvial
Jhansi,June,29.3,40.4,40,147,8.7,23.2,7.2,Alluvial
Jhansi,July,25.9,33.5,72,130,5.9,18.7,4.82,Alluvial
Jhansi,August,24.9,31.7,79,104,5.2,17.3,4.01,Alluvial
Jhansi,September,24.1,32.5,70,95,7.6,19.3,4.39,Alluvial
Jhansi,October,19.5,33.3,50,78,9.7,19.9,4.22,Alluvial
Jhansi,November,13.1,29.7,41,61,10.1,17.8,3.07,Alluvial
Jhansi,December,9.3,25.5,48,61,9,15.4,2.36,Alluvial
Jodhpur,January,9.5,24.6,37,147,8,14.7,3.29,Sandy
Jodhpur,February,12,27.9,33,147,8.5,17.5,4.04,Sandy
Jodhpur,March,17.1,33.3,24,156,8,19.3,5.37,Sandy
Jodhpur,April,22.4,38.3,20,173,8.9,22.5,6.97,Sandy
Jodhpur,May,27.3,41.6,26,259,9.2,23.8,9.25,Sandy
Jodhpur,June,28.5,40.1,43,302,8.5,22.8,8.9,Sandy
Jodhpur,July,26.8,35.7,63,277,6,18.9,6.23,Sandy
Jodhpur,August,25.2,33.2,69,216,5.8,18,5.03,Sandy
Jodhpur,September,24.1,34.7,55,181,7.4,19,5.48,Sandy
Jodhpur,October,19.6,35.7,27,104,8.9,18.7,4.67,Sandy
Jodhpur,November,13.9,31.4,30,95,8.7,16,3.54,Sandy
Jodhpur,December,10.7,26.7,40,121,8.3,14.3,3.1,Sandy
Kakinada,January,18.9,27.2,89,190,9.3,19.2,3.22,Alluvial
Kakinada,February,21.1,30,86,164,9.6,21.3,3.99,Alluvial
Kakinada,March,22.8,33.3,81,147,10,23.8,4.97,Alluvial
Kakinada,April,26.1,35.5,81,164,9.5,24,5.5,Alluvial
Kakinada,May,27.8,37.2,81,207,9.2,23.6,5.9,Alluvial
Kakinada,June,27.2,36.1,79,216,7.9,21.5,5.53,Alluvial
Kakinada,July,25.5,32.2,83,225,6.7,19.6,4.58,Alluvial
Kakinada,August,25.5,32.2,86,199,5,17.2,3.97,Alluvial
Kakinada,September,25.5,32.2,88,164,7,19.5,4.22,Alluvial
Kakinada,October,24.4,31.1,87,173,7.6,18.9,3.99,Alluvial
Kakinada,November,22.2,28.3,80,216,8.2,18,3.77,Alluvial
Kakinada,December,18.9,27.2,88,199,8.9,17.9,3.15,Alluvial
Kalimpong,January,7.8,15.5,78,164,6.2,12.6,1.81,Red
Kalimpong,February,9.1,16.7,76,164,6.7,15.1,2.25,Red
Kalimpong,March,12.2,20.6,68,164,8,19.1,3.33,Red
Kalimpong,April,15,23.1,72,190,8,21.1,3.99,Red
Kalimpong,May,17.3,24.1,82,164,6.8,20.1,3.82,Red
Kalimpong,June,18.9,24.4,87,130,7,20.6,3.87,Red
Kalimpong,July,19.2,24.1,90,130,6,19,3.56,Red
Kalimpong,August,19.3,24.3,88,130,4.7,16.3,3.19,Red
Kalimpong,September,18.8,24.1,90,130,3.7,13.7,2.67,Red
Kalimpong,October,16.1,23.3,82,164,7.1,16.2,2.97,Red
Kalimpong,November,11.6,20,78,164,7.2,14,2.36,Red
Kalimpong,December,8.8,17.3,76,164,7.3,13.1,1.96,Red
Kalingapatam,January,17.7,27.4,74,164,8.6,17.8,3.41,Red
Kalingapatam,February,19.8,29.6,75,156,8.8,19.8,3.99,Red
Kalingapatam,March,22.8,31.9,75,199,9.2,22.3,4.93,Red
Kalingapatam,April,25.7,33.1,77,268,8.8,22.9,5.49,Red
Kalingapatam,May,27.4,33.9,77,311,8.3,22.3,5.72,Red
Kalingapatam,June,27.1,33.6,77,268,6.8,19.9,5.21,Red
Kalingapatam,July,25.9,31.6,81,251,5.8,18.5,4.52,Red
Kalingapatam,August,26,31.9,81,199,5.9,18.5,4.39,Red
Kalingapatam,September,25.8,31.8,81,156,6.3,18.3,4.24,Red
Kalingapatam,October,24.5,30.7,79,164,7,17.8,4.04,Red
Kalingapatam,November,20.4,28.5,76,190,8,17.3,3.74,Red
Kalingapatam,December,17.6,26.8,74,190,8.5,17,3.38,Red
Kanker,January,12.1,27.9,54,26,7.9,16.4,2.45,Sandy
Kanker,February,14.6,30.2,48,61,8.3,18.8,3.41,Sandy
Kanker,March,18.3,34.4,39,86,8.5,21.1,4.61,Sandy
Kanker,April,23.8,37.8,36,112,8.3,22,5.73,Sandy
Kanker,May,27.2,40.3,34,130,7.9,21.8,6.53,Sandy
Kanker,June,26,35.4,55,164,5.5,18.1,5.61,Sandy
Kanker,July,23.6,29.1,80,173,4.9,17.2,4.04,Sandy
Kanker,August,23.5,29.1,81,130,3.8,15.3,3.5,Sandy
Kanker,September,23.1,29.9,79,95,5.1,16.4,3.62,Sandy
Kanker,October,20.1,30.2,70,61,7.1,17.6,3.63,Sandy
Kanker,November,14.2,28.3,61,35,7.7,16.5,2.85,Sandy
Kanker,December,11.2,27.1,57,26,7.9,15.8,2.35,Sandy
Kanpur,January,8.6,22.8,63,112,7.6,14.2,2.37,Alluvial
Kanpur,February,11,26,49,147,8.3,17.3,3.52,Alluvial
Kanpur,March,16.3,32.7,35,181,9,20.7,5.54,Alluvial
Kanpur,April,22,38.3,25,199,9.8,23.8,7.44,Alluvial
Kanpur,May,27.2,41.7,26,207,10.6,25.8,8.66,Alluvial
Kanpur,June,28.7,39.9,41,233,8.4,22.8,8.15,Alluvial
Kanpur,July,26.6,33.7,74,190,4.2,16.3,4.59,Alluvial
Kanpur,August,25.8,32.1,81,164,4.1,15.5,3.85,Alluvial
Kanpur,September,24.9,32.7,74,147,6.4,17.6,4.3,Alluvial
Kanpur,October,19.6,32.7,59,104,8.9,18.7,4.22,Alluvial
Kanpur,November,12.3,28.9,52,86,8.8,16,3.12,Alluvial
Kanpur,December,8.5,24.3,59,130,8,14,2.66,Alluvial
Khandwa,January,12,29.3,40,112,8.2,16.3,3.51,Black
Khandwa,February,13.6,31.9,32,121,8.8,19.1,4.37,Black
Khandwa,March,18.1,36.4,22,138,9.2,21.8,5.73,Black
Khandwa,April,23.9,40.2,21,181,9.2,23.4,7.49,Black
Khandwa,May,27.9,41.9,27,277,9.4,24.1,9.63,Black
Khandwa,June,26.2,37.5,51,311,6.9,20.3,7.71,Black
Khandwa,July,23.8,30.9,75,277,3.8,15.6,4.46,Black
Khandwa,August,23.2,29.9,76,242,4.3,16,4.11,Black
Khandwa,September,22.7,31,72,173,5.8,17.3,4.24,Black
Khandwa,October,18.9,33.4,49,104,8.2,18.8,4.43,Black
Khandwa,November,13.5,31.2,43,86,8.4,17,3.57,Black
Khandwa,December,11.2,29.6,42,86,8.3,15.7,3.1,Black
Kodaikanal,January,8,17,66,216,6.9,17.5,3.13,Alluvial
Kodaikanal,February,8.7,17.9,61,199,7.5,19.6,3.58,Alluvial
Kodaikanal,March,10,19.2,56,225,7.5,20.8,4.15,Alluvial
Kodaikanal,April,11.6,19.8,69,207,6.8,19.9,3.79,Alluvial
Kodaikanal,May,12.7,20.4,72,199,6,18.5,3.64,Alluvial
Kodaikanal,June,12.2,18.5,77,242,4.3,15.5,3.08,Alluvial
Kodaikanal,July,11.5,17.1,82,277,3.3,14.2,2.65,Alluvial
Kodaikanal,August,11.5,17.5,81,225,3.9,15.3,2.79,Alluvial
Kodaikanal,September,11.3,17.7,81,190,4.4,16,2.88,Alluvial
Kodaikanal,October,10.9,17,85,164,4.3,15,2.57,Alluvial
Kodaikanal,November,9.8,16.1,85,199,4.8,14.8,2.39,Alluvial
Kodaikanal,December,8.6,16.4,73,207,6.1,16,2.76,Alluvial
Kota,January,10.6,24.5,47,35,8.3,15.4,2.07,Black
Kota,February,13.1,28.5,38,35,8.9,18.3,2.66,Black
Kota,March,18.5,34.1,28,61,8.2,19.8,3.88,Black
Kota,April,24.4,39,23,95,9,22.7,5.59,Black
Kota,May,29.7,42.6,25,138,7.5,21.2,6.96,Black
Kota,June,29.5,40.3,42,156,8.1,22.2,7.1,Black
Kota,July,26.4,33.3,65,138,4.5,16.7,4.72,Black
Kota,August,25.4,31.7,76,121,4.5,16.1,3.95,Black
Kota,September,24.7,33.1,67,95,6.4,17.7,4.22,Black
Kota,October,21,34.5,45,86,8.5,18.4,4.29,Black
Kota,November,14.8,30.8,48,26,8.6,16.1,2.62,Black
Kota,December,11.3,26.7,55,26,8,14.4,2.05,Black
Kozhikode,January,22,31.6,70,216,8.9,20,4.76,Sandy
Kozhikode,February,23.4,32,72,268,9,21.6,5.24,Sandy
Kozhikode,March,25,32.7,74,285,9.1,23.1,5.65,Sandy
Kozhikode,April,26.1,33.1,75,285,8,21.9,5.54,Sandy
Kozhikode,May,25.8,32.4,78,285,6.9,19.9,5,Sandy
Kozhikode,June,24,29.4,87,242,5.3,17.1,3.71,Sandy
Kozhikode,July,23.5,28.4,90,190,4.6,16.2,3.32,Sandy
Kozhikode,August,23.5,28.3,89,190,5.5,17.7,3.54,Sandy
Kozhikode,September,24,29.5,85,216,6.6,19.3,4.04,Sandy
Kozhikode,October,24,30.6,82,190,6.4,18.1,4,Sandy
Kozhikode,November,23.6,31.3,77,190,7.3,18.1,4.18,Sandy
Kozhikode,December,22.7,31.6,71,190,8.4,18.9,4.46,Sandy
Krishnanagar,January,11.1,26.8,67,26,8.2,15.9,2.25,Red
Krishnanagar,February,13.7,29.6,61,43,8.3,17.9,2.93,Red
Krishnanagar,March,18.8,35,73,86,8.6,20.7,4.3,Red
Krishnanagar,April,23.4,37.9,55,147,8.5,22.2,5.95,Red
Krishnanagar,May,25.2,37,67,181,7.9,21.8,5.92,Red
Krishnanagar,June,26,34.3,79,138,5.5,18.2,4.55,Red
Krishnanagar,July,25.6,32.3,85,121,4.5,16.7,3.88,Red
Krishnanagar,August,25.7,32.4,84,86,4.6,16.4,3.74,Red
Krishnanagar,September,25.5,32.9,82,78,5.1,16.1,3.66,Red
Krishnanagar,October,23,32.6,77,43,7.3,17.2,3.61,Red
Krishnanagar,November,16.7,30.2,70,26,8,16,2.81,Red
Krishnanagar,December,12.1,27.4,68,26,8.2,15.2,2.25,Red
Kurnool,April,26,39.3,34,138,9.2,23.6,6.66,Black
Kurnool,August,23.5,32.1,63,302,4.9,16.9,5.48,Black
Kurnool,December,16.6,30.3,51,69,8.4,17.7,3.4,Black
Kurnool,February,19.3,34.3,37,112,9.3,21.1,4.9,Black
Kurnool,January,17,31.3,47,104,8.8,18.8,3.99,Black
Kurnool,July,23.8,32.5,64,363,4.4,16.2,5.75,Black
Kurnool,June,25,35.6,54,354,5.8,18.3,7.19,Black
Kurnool,March,22.5,37.5,30,121,9.7,23.5,5.94,Black
Kurnool,May,27.2,40,37,225,8.3,22.3,7.94,Black
Kurnool,November,19.2,31,56,78,7.7,17.6,3.73,Black
Kurnool,October,22.4,32.4,61,95,8.7,20.7,4.58,Black
Kurnool,September,23.3,31.9,65,207,5.5,17.3,4.83,Black
Leh,January,-14,-2.8,55,61,4.2,8.6,0.76,Mountain
Leh,February,-11.8,0.8,52,61,4.5,10.9,1.04,Mountain
Leh,March,-6.3,6.4,47,95,5,13.8,1.81,Mountain
Leh,April,-1.2,12.4,37,121,6.6,18.3,3.01,Mountain
Leh,May,2.8,17.1,31,130,6.8,19.9,3.87,Mountain
Leh,June,6.7,21.1,31,112,7.3,21.1,4.34,Mountain
Leh,July,10.2,24.7,40,95,7.3,20.7,4.45,Mountain
Leh,August,9.6,24.2,44,78,6.9,19.1,4.04,Mountain
Leh,September,5.4,20.9,39,86,7.2,17.4,3.52,Mountain
Leh,October,-0.9,14.2,33,95,6.7,13.9,2.52,Mountain
Leh,November,-6.6,7.8,35,95,6,10.8,1.63,Mountain
Leh,December,-11.1,1.6,47,61,4.9,8.7,0.95,Mountain
Lucknow,January,8.9,23.3,65,26,7.8,14.4,1.8,Alluvial
Lucknow,February,11.5,26.4,52,52,8.4,17.2,2.61,Alluvial
Lucknow,March,16.3,32.9,37,61,9.1,20.6,3.84,Alluvial
Lucknow,April,21.8,38.3,30,61,9.8,23.8,4.98,Alluvial
Lucknow,May,26.5,41.2,33,69,10.6,25.8,6.08,Alluvial
Lucknow,June,28,39.3,49,104,7.9,21.9,6.07,Alluvial
Lucknow,July,26.6,33.6,77,61,3.8,15.6,3.84,Alluvial
Lucknow,August,26,32.5,82,61,4.1,15.5,3.59,Alluvial
Lucknow,September,25.1,33,76,52,6.4,17.5,3.89,Alluvial
Lucknow,October,19.8,32.8,67,26,9.4,19.1,3.61,Alluvial
Lucknow,November,12.7,29.3,62,26,9.2,16.3,2.54,Alluvial
Lucknow,December,9.1,24.8,68,26,8.4,14.3,1.86,Alluvial
Ludhiana,January,6.7,18.9,66,69,6.5,11.8,1.58,Red
Ludhiana,February,8.5,21,63,95,7.1,14.6,2.24,Red
Ludhiana,March,12.8,26,51,95,7.9,18.2,3.33,Red
Ludhiana,April,18.8,34.6,42,95,9.1,22.3,4.94,Red
Ludhiana,May,23.3,38.8,31,121,10,24.8,6.51,Red
Ludhiana,June,26.2,39.6,40,121,10.1,25.1,6.85,Red
Ludhiana,July,26.1,34.9,69,95,7.1,20.6,5.09,Red
Ludhiana,August,24.8,32.9,76,69,6.6,18.9,4.29,Red
Ludhiana,September,23.4,33.4,68,69,8.2,19.4,4.28,Red
Ludhiana,October,17.7,32,56,52,9,17.6,3.41,Red
Ludhiana,November,11.6,26.4,62,52,8.3,14.1,2.27,Red
Ludhiana,December,7.4,20.7,72,52,7.1,11.6,1.52,Red
Lumding,January,8.6,23.9,80,43,8.1,15,2.04,Mountain
Lumding,February,10.6,26.2,74,52,7.9,16.9,2.58,Mountain
Lumding,March,14.7,30.9,65,61,8,19.4,3.59,Mountain
Lumding,April,19.1,33,65,86,7,19.7,4.32,Mountain
Lumding,May,22.1,32.5,72,69,5.7,18.6,4.11,Mountain
Lumding,June,24.2,32.5,71,61,3.3,15.1,3.58,Mountain
Lumding,July,24.8,33,78,43,3.2,14.7,3.41,Mountain
Lumding,August,24.7,32.9,77,52,3.2,14.3,3.35,Mountain
Lumding,September,24.1,32.3,84,43,4,14.2,3.19,Mountain
Lumding,October,21.3,30.2,80,43,6.5,15.6,3.17,Mountain
Lumding,November,15.4,27.1,83,43,7.8,15.1,2.56,Mountain
Lumding,December,10.6,24.4,83,43,8,14.2,2.02,Mountain
Machilipatnam,January,19,28.5,77,147,9.3,19.3,3.66,Alluvial
Machilipatnam,February,20.8,30.2,77,147,9.3,21.1,4.19,Alluvial
Machilipatnam,March,22.6,32.5,75,147,10,23.8,5.05,Alluvial
Machilipatnam,April,25.7,34.6,73,216,9.5,24.2,5.87,Alluvial
Machilipatnam,May,27.5,37.3,65,268,9.3,23.8,6.92,Alluvial
Machilipatnam,June,27,36.7,61,268,8,21.6,6.79,Alluvial
Machilipatnam,July,25.6,33.7,71,216,6.9,19.9,5.32,Alluvial
Machilipatnam,August,25.4,32.6,74,216,6.9,20,5.02,Alluvial
Machilipatnam,September,25.3,32.5,78,164,6.9,19.4,4.57,Alluvial
Machilipatnam,October,24,31.6,80,147,7.5,18.9,4.19,Alluvial
Machilipatnam,November,21.6,30.1,77,164,8,17.9,3.87,Alluvial
Machilipatnam,December,19.9,28.8,75,164,8.7,17.9,3.64,Alluvial
Madikeri,January,14.2,24.6,65,173,8.8,19.7,3.84,Red
Madikeri,February,15.1,26.8,61,147,9.2,21.8,4.37,Red
Madikeri,March,16.6,28.5,61,138,9.6,23.8,4.93,Red
Madikeri,April,17.9,27.9,74,147,8.8,23,4.68,Red
Madikeri,May,18.3,26.3,83,207,7.9,21.4,4.22,Red
Madikeri,June,17.4,21.9,94,259,6.1,18.5,2.99,Red
Madikeri,July,17.1,20.2,97,328,4.6,16.3,2.38,Red
Madikeri,August,17.1,20.7,95,302,5.4,17.6,2.66,Red
Madikeri,September,16.9,22,92,251,6.5,19.1,3.08,Red
Madikeri,October,17,23.7,86,164,7.3,19.3,3.41,Red
Madikeri,November,16.1,23.6,77,207,7.7,18.4,3.5,Red
Madikeri,December,14.6,23.5,68,225,8.3,18.4,3.69,Red
Madurai,January,20.9,30.2,62,121,7.8,18.9,4.17,Alluvial
Madurai,February,21.6,32.4,55,104,8.3,20.9,4.67,Alluvial
Madurai,March,23.4,35,51,95,8.5,22.4,5.2,Alluvial
Madurai,April,25.4,36.3,55,78,7.6,21.2,5.04,Alluvial
